,h3_polyfill,CVEGEO,CVE_ENT,CVE_MUN,NOMGEO,per_ocu_tot,denue_tot,ratio,per_ocu_95,ratio_95
136,8948a20f1c3ffff,19006,19,006,Apodaca,240,28,0.11666666666666667,0,0
137,8948a20d4cfffff,19006,19,006,Apodaca,306,2,0.006535947712418301,0,1
138,8948a20eab3ffff,19006,19,006,Apodaca,635,87,0.13700787401574804,0,0
139,8948a20c0cbffff,19006,19,006,Apodaca,2712,122,0.04498525073746313,1,0
140,8948a20e34bffff,19006,19,006,Apodaca,1048,8,0.007633587786259542,0,1
141,8948a20c49bffff,19006,19,006,Apodaca,15,3,0.2,0,0
142,8948a20c113ffff,19006,19,006,Apodaca,40,8,0.2,0,0
143,8948a20ccc7ffff,19006,19,006,Apodaca,25,4,0.16,0,0
144,8948a20ee67ffff,19006,19,006,Apodaca,295,53,0.17966101694915254,0,0
145,8948a20f357ffff,19006,19,006,Apodaca,140,18,0.12857142857142856,0,0
146,8948a20f197ffff,19006,19,006,Apodaca,255,33,0.12941176470588237,0,0
147,8948a20c94fffff,19006,19,006,Apodaca,10,2,0.2,0,0
148,8948a20c673ffff,19006,19,006,Apodaca,280,7,0.025,0,0
149,8948a20f22bffff,19006,19,006,Apodaca,882,4,0.0045351473922902496,0,1
150,8948a20f133ffff,19006,19,006,Apodaca,210,8,0.0380952380952381,0,0
151,8948a20abb7ffff,19006,19,006,Apodaca,10,2,0.2,0,0
152,8948a20c08bffff,19006,19,006,Apodaca,40,2,0.05,0,0
153,8948a20f16bffff,19006,19,006,Apodaca,1225,81,0.06612244897959184,0,0
154,8948a20f27bffff,19006,19,006,Apodaca,10,1,0.1,0,0
155,8948a20c533ffff,19006,19,006,Apodaca,420,50,0.11904761904761904,0,0
156,8948a20cd0bffff,19006,19,006,Apodaca,610,4,0.006557377049180328,0,1
157,8948a20c5a7ffff,19006,19,006,Apodaca,215,31,0.14418604651162792,0,0
158,8948a20f193ffff,19006,19,006,Apodaca,10,2,0.2,0,0
159,8948a20f547ffff,19006,19,006,Apodaca,500,86,0.172,0,0
160,8948a20d0a3ffff,19006,19,006,Apodaca,15,3,0.2,0,0
161,8948a20c62bffff,19006,19,006,Apodaca,325,6,0.018461538461538463,0,0
162,8948a20ce33ffff,19006,19,006,Apodaca,15,3,0.2,0,0
163,8948a20c5cfffff,19006,19,006,Apodaca,280,2,0.007142857142857143,0,1
164,8948a20cc17ffff,19006,19,006,Apodaca,325,53,0.16307692307692306,0,0
165,8948a20c8c3ffff,19006,19,006,Apodaca,1357,16,0.011790714812085483,1,0
166,8948a20d687ffff,19006,19,006,Apodaca,70,3,0.04285714285714286,0,0
167,8948a20c053ffff,19006,19,006,Apodaca,625,60,0.096,0,0
168,8948a20ea47ffff,19006,19,006,Apodaca,140,23,0.16428571428571428,0,0
169,8948a20f027ffff,19006,19,006,Apodaca,490,18,0.036734693877551024,0,0
170,8948a20f143ffff,19006,19,006,Apodaca,5,1,0.2,0,0
171,8948a20c013ffff,19006,19,006,Apodaca,30,1,0.03333333333333333,0,0
172,8948a20f42bffff,19006,19,006,Apodaca,15,3,0.2,0,0
173,8948a20f037ffff,19006,19,006,Apodaca,140,11,0.07857142857142857,0,0
174,8948a20c68bffff,19006,19,006,Apodaca,30,1,0.03333333333333333,0,0
175,8948a20c6b7ffff,19006,19,006,Apodaca,540,5,0.009259259259259259,0,1
176,8948a20e873ffff,19006,19,006,Apodaca,285,37,0.12982456140350876,0,0
177,8948a20f403ffff,19006,19,006,Apodaca,480,22,0.04583333333333333,0,0
178,8948a20c94bffff,19006,19,006,Apodaca,426,6,0.014084507042253521,0,0
179,8948a20e38bffff,19006,19,006,Apodaca,155,15,0.0967741935483871,0,0
180,8948a20d553ffff,19006,19,006,Apodaca,180,3,0.016666666666666666,0,0
181,8948a20c10fffff,19006,19,006,Apodaca,85,11,0.12941176470588237,0,0
182,8948a20de47ffff,19006,19,006,Apodaca,10,1,0.1,0,0
183,8948a20e2cfffff,19006,19,006,Apodaca,195,5,0.02564102564102564,0,0
184,8948a20e3b7ffff,19006,19,006,Apodaca,60,12,0.2,0,0
185,8948a20c3c7ffff,19006,19,006,Apodaca,100,1,0.01,0,0
186,8948a20ceabffff,19006,19,006,Apodaca,90,11,0.12222222222222222,0,0
187,8948a20ea8bffff,19006,19,006,Apodaca,330,20,0.06060606060606061,0,0
188,8948a20c107ffff,19006,19,006,Apodaca,295,10,0.03389830508474576,0,0
189,8948a20e3cbffff,19006,19,006,Apodaca,1185,26,0.021940928270042195,0,0
190,8948a20f34fffff,19006,19,006,Apodaca,705,38,0.05390070921985816,0,0
191,8948a20e16fffff,19006,19,006,Apodaca,80,6,0.075,0,0
192,8948a20eeafffff,19006,19,006,Apodaca,85,11,0.12941176470588237,0,0
193,8948a20e267ffff,19006,19,006,Apodaca,316,4,0.012658227848101266,0,0
194,8948a20c5afffff,19006,19,006,Apodaca,40,8,0.2,0,0
195,8948a20a923ffff,19006,19,006,Apodaca,320,46,0.14375,0,0
